date	x0.71y0.66z1.5708	x1.3y0.69z1.57 x2y0z1.57	x3y0z1.57	x2y0.59z1.57	x0.5y0z0.466
100.102	-2968.52	-2004.89	-1762.44	-163.695	-80.8441	-1987.06
100.105	-2856.76	-2091.66	-1693.98	-184.444	-56.4636	-2005.05
100.107	 -2733.8	-2180.49	-1614.74	-214.450	-75.4723	-2030.26
 100.11	   -2612	-2260.07	-1532.50	-246.545	-118.780	-2063.17
100.112	-2498.27	-2333.89	-1444.70	-283.751	-159.649	-2105.22
100.115	-2399.35	-2399.95	-1342.06	-330.855	-234.895	-2144.25
100.117	 -2319.9	-2455.28	-1250.24	-376.899	-325.621	-2181.68
 100.12	-2257.82	-2494.91	-1152.15	-422.083	-402.035	-2205.44
100.122	-2210.45	-2516.82	-1064.23	-471.097	-501.719	-2222.95
100.125	-2172.77	-2518.36	-1004.82	-531.286	-599.039	-2226.17
100.127	-2135.43	-2500.24	-971.203	-597.319	-670.772	-2217.95
 100.13	-2103.14	-2466.69	-971.214	-663.838	-742.052	-2203.84
100.132	-2071.31	-2423.45	-1012.61	-735.056	-808.353	 -2188.4
100.135	-2036.45	-2373.31	-1090.82	-788.769	-872.315	-2176.64
100.137	 -1999.4	-2318.25	-1189.30	-811.639	-937.311	-2165.92
 100.14	-1958.83	-2260.85	-1305.55	-812.412	-1005.62	-2162.51
100.142	-1912.73	-2206.31	-1435.09	-795.671	-1070.47	-2161.62
100.145	 -1864.9	-2155.54	-1552.74	-772.944	-1122.04	-2153.11
100.147	-1810.16	-2106.72	-1645.46	-758.644	-1171.78	-2129.37
 100.15	-1749.26	-2056.98	-1721.39	-735.472	-1212.13	-2092.2
100.152	-1677.64	-2007.39	-1762.49	-731.374	-1242.93	-2040.89
100.155	-1597.35	-1959.78	-1802.82	-732.119	-1276.52	-1984.94
100.157	-1505.14	-1909.24	-1842.60	-731.319	-1308.60	-1926.25
 100.16	-1394.87	-1854.49	-1876.08	-740.810	-1333.04	-1861.88
100.162	-1273.74	-1789.40	-1891.96	-738.247	-1354.76	-1808.01
100.165	-1151.22	-1710.30	-1886.49	-734.209	-1370.37	-1762.17
100.167	-1038.48	-1617.51	-1867.24	-712.252	-1383.49	-1725.6
 100.17	-936.903	-1505.90	-1843.59	-679.479	-1393.47	-1699.84
100.172	-859.751	-1383.85	-1798.73	-635.524	-1397.89	-1688.4
100.175	-805.285	-1250.52	-1735.17	-588.922	-1388.84	-1689.38
100.177	-786.657	-1111.01	-1651.63	-551.127	-1367.37	-1700.16
 100.18	-796.231	-972.765	-1555.69	-527.735	-1333.19	-1726.1
100.182	-845.852	-840.863	-1447.32	-516.824	-1277.89	-1762.78
100.185	-928.071	-716.178	-1356.45	-520.533	-1205.26	-1799.3
100.187	-1052.84	-595.298	-1287.61	-536.681	-1116.29	-1833.94
 100.19	-1214.19	-480.042	-1219.72	-564.568	-1010.43	-1858.49
100.192	-1406.51	-369.073	-1133.21	-594.205	-885.262	-1860.78
100.195	-1627.38	-273.724	-1047.37	-630.019	-736.959	-1843.44
100.197	-1865.93	-196.256	-975.165	-670.713	-624.011	-1803.15
  100.2	-2107.59	-126.822	-925.106	-722.401	-573.904	-1750.43