date	point1	poin2	point3
1	63.4	62.7	72.2
2	58.0	59.9	67.7
3	53.3	59.1	69.4
4	55.7	58.8	68.0
5	64.2	58.7	72.4
6	58.8	57.0	77.0
7	57.9	56.7	82.3
8	61.8	56.8	78.9
9	69.3	56.7	68.8
10	71.2	60.1	68.7
11	68.7	61.1	70.3
12	61.8	61.5	75.3
13	63.0	64.3	76.6
14	66.9	67.1	66.6
15	61.7	64.6	68.0
16	61.8	61.6	70.6
17	62.8	61.1	71.1
18	60.8	59.2	70.0
19	62.1	58.9	61.6
20	65.1	57.2	57.4
21	55.6	56.4	64.3
22	54.4	60.7	72.4
23	54.4	65.1	72.4
24	54.8	60.9	72.5
25	57.9	56.1	72.7
26	54.6	54.6	73.4
27	54.4	56.1	70.7
28	42.5	58.1	56.8
29	40.9	57.5	51.0
30	38.6	57.7	54.9
31	44.2	55.1	58.8
32	49.6	57.9	62.6
33	47.2	64.6	71.0
34	50.1	56.2	58.4
35	50.1	50.5	45.1
36	43.5	51.3	52.2
37	43.8	52.6	73.0
38	48.9	51.4	75.4
39	55.5	50.6	72.1
40	53.7	54.6	56.6
41	57.7	55.6	55.4
42	48.5	53.9	46.7
43	46.8	54.0	62.0
44	51.1	53.8	71.6
45	56.8	53.5	75.5
46	59.7	53.4	72.1
47	56.5	52.2	65.7
48	49.6	52.7	56.8
49	41.5	53.1	49.9
50	44.3	49.0	71.7
51	54.0	50.4	77.7
52	54.1	51.1	76.4
53	49.4	52.3	68.8
54	50.0	54.6	57.0
55	44.0	55.1	55.5
56	50.3	51.5	61.6
57	52.1	53.6	64.1
58	49.6	52.3	51.1
59	57.2	51.0	43.0
60	59.1	49.5	46.4
61	50.6	49.8	48.0
62	44.3	60.4	48.1
63	43.9	62.2	60.6
64	42.1	58.3	62.6
65	43.9	52.7	57.1
66	50.2	51.5	44.2
67	54.2	49.9	37.4
68	54.6	48.6	35.0
69	43.4	46.4	37.0
70	42.2	49.8	45.4
71	45.0	52.1	50.7
72	33.8	48.8	48.6
73	36.8	47.4	52.2
74	38.6	47.2	60.8
75	41.9	46.1	70.0
76	49.6	48.8	64.2
77	50.2	47.9	50.9
78	40.6	49.8	51.6
79	29.1	49.1	55.2
80	33.7	48.3	62.1
81	45.8	49.3	56.3
82	47.4	48.4	47.2
83	54.4	53.3	52.3
84	47.8	47.5	45.2
85	34.9	47.9	43.6
86	35.9	48.9	42.9
87	43.6	45.9	48.2
88	42.9	47.2	45.4
89	46.2	48.9	44.2
90	30.8	50.9	50.4
91	40.8	52.9	52.4
92	49.8	50.1	53.5
93	46.3	53.9	55.9
94	43.2	53.1	48.2
95	30.3	49.7	41.0
96	19.2	52.7	48.9
97	32.1	52.6	54.8
98	41.2	49.0	61.2
99	47.0	51.0	59.7
100	46.0	56.8	52.5
101	34.7	52.3	54.0
102	39.4	51.6	47.7
103	40.4	49.8	49.2
104	45.4	51.9	48.4
105	40.7	53.7	40.2
106	30.4	52.9	43.9
107	23.9	49.7	45.2
108	22.6	45.3	65.0
109	39.8	43.6	68.2
110	43.2	45.0	47.5
111	26.5	47.3	57.1
112	32.8	51.4	61.9
113	27.4	53.7	54.6
114	25.0	48.3	56.7
115	39.4	52.9	54.4
116	48.7	49.1	52.7
117	43.0	52.1	61.8
118	37.1	53.6	55.0
119	48.2	50.4	50.7
120	43.7	50.3	52.9
121	40.1	53.8	44.4
122	38.0	51.9	49.1
123	43.5	50.0	62.8
124	50.4	50.0	64.6
125	45.8	51.3	61.1
126	37.5	51.5	70.0
127	40.8	52.0	61.3
128	36.5	53.8	48.2
129	39.1	54.6	44.2
130	43.2	54.3	51.3
131	36.5	51.9	49.2
132	36.5	53.8	45.7
133	38.3	53.9	54.1
134	36.9	52.3	44.9
135	29.7	50.1	36.5
136	33.1	49.5	44.8
137	39.6	48.6	52.3
138	42.3	49.9	68.0
139	39.7	52.4	54.6
140	46.0	49.9	53.8
141	41.2	51.6	56.2
142	39.8	47.8	50.8
143	38.1	48.7	53.0
144	37.1	49.7	61.0
145	45.5	53.4	68.8
146	50.6	54.1	69.4
147	42.7	55.9	59.3
148	42.6	51.7	47.2
149	36.9	47.7	47.7
150	40.9	45.4	61.9
151	45.9	47.0	67.2
152	40.7	49.8	70.1
153	41.3	48.9	62.1
154	36.8	48.1	72.7
155	47.6	50.7	59.0
156	44.2	55.0	51.8
157	38.5	48.8	55.0
158	32.9	48.4	61.8
159	43.3	49.9	67.1
160	51.2	49.2	72.0
161	47.8	51.7	46.4
162	37.2	49.3	46.7
163	42.9	50.0	56.9
164	48.8	48.6	61.9
165	52.6	53.9	68.8
166	60.5	55.2	71.9
167	47.2	55.9	72.0
168	44.7	54.6	72.5
169	48.2	48.2	71.7
170	48.2	47.1	71.1
171	53.1	45.8	73.0
172	57.8	49.7	63.8
173	57.5	51.4	60.0
174	57.3	51.4	62.3
175	61.7	48.4	61.1
176	55.8	49.0	62.0
177	48.4	46.4	64.6
178	49.8	49.7	66.0
179	39.6	54.1	65.8
180	49.7	54.6	69.2
181	56.8	52.3	69.5
182	46.5	54.5	73.5
183	42.2	56.2	73.9
184	45.3	51.1	75.3
185	48.1	50.5	75.4
186	51.2	52.2	77.3
187	61.0	50.6	67.0
188	50.7	47.9	71.1
189	48.0	47.4	70.4
190	51.1	49.4	73.6
191	55.7	50.0	71.1
192	58.3	51.3	70.0
193	55.0	53.8	69.0
194	49.0	52.9	69.2
195	51.7	53.9	74.5
196	53.1	50.2	73.4
197	55.2	50.9	76.0
198	62.3	51.5	74.5
199	62.9	51.9	63.6
200	69.3	53.2	67.3
201	59.0	53.0	65.1
202	54.1	55.1	67.9
203	56.5	55.8	68.9
204	58.2	58.0	65.1
205	52.4	52.8	65.4
206	51.6	55.1	70.1
207	49.3	57.9	67.0
208	52.5	57.5	75.4
209	50.5	55.3	77.5
210	51.9	53.5	77.0
211	47.4	54.7	77.7
212	54.1	54.0	77.7
213	51.9	53.4	77.7
214	57.4	52.7	77.0
215	53.7	50.7	77.9
216	53.1	52.6	79.1
217	57.2	53.4	80.1
218	57.0	53.1	82.1
219	56.6	56.5	79.0
220	54.6	55.3	79.8
221	57.9	52.0	70.0
222	59.2	52.4	69.8
223	61.1	53.4	71.3
224	59.7	53.1	69.4
225	64.1	49.9	72.0
226	65.3	52.0	72.4
227	64.2	56.0	72.5
228	62.0	53.0	67.6
229	63.8	51.0	69.0
230	64.5	51.4	72.7
231	61.0	52.2	73.7
232	62.6	52.4	77.5
233	66.2	54.5	75.8
234	62.7	52.8	76.9
235	63.7	53.9	78.8
236	66.4	56.5	77.7
237	64.5	54.7	80.6
238	65.4	52.5	81.4
239	69.4	52.1	82.3
240	71.9	52.2	80.3
241	74.4	52.9	80.3
242	75.9	52.1	82.2
243	72.9	52.1	81.9
244	72.5	53.3	82.4
245	67.2	54.8	77.9
246	68.3	54.0	81.1
247	67.7	52.3	82.2
248	61.9	55.3	81.2
249	58.3	53.5	83.0
250	61.7	54.1	83.2
251	66.7	53.9	82.1
252	68.7	54.4	77.5
253	72.2	55.0	77.9
254	72.6	60.0	82.9
255	69.2	57.2	86.8
256	66.9	55.1	85.3
257	66.7	53.3	76.9
258	67.7	53.4	84.5
259	68.5	54.6	84.4
260	67.5	57.0	83.8
261	64.2	55.6	82.5
262	61.7	52.5	82.9
263	66.4	53.9	82.5
264	77.9	55.3	81.3
265	88.3	53.3	80.8
266	82.2	54.1	81.7
267	77.0	55.2	83.9
268	75.4	55.8	85.5
269	70.9	56.8	87.2
270	65.9	57.5	88.0
271	73.5	57.7	89.6
272	77.4	56.6	86.7
273	79.6	56.4	85.3
274	84.2	58.4	81.7
275	81.8	58.8	78.5
276	82.5	56.4	83.1
277	80.2	56.5	83.1
278	77.8	55.8	84.5
279	86.1	54.8	84.6
280	79.9	54.9	84.2
281	83.5	54.7	86.7
282	81.5	52.8	84.3
283	77.8	53.7	83.7
284	76.1	53.1	77.1
285	76.3	52.7	77.4
286	75.8	52.0	80.6
287	77.2	53.4	81.4
288	79.3	54.0	80.2
289	78.9	54.0	81.8
290	79.6	54.5	77.3
291	83.3	56.7	80.8
292	84.3	57.5	81.6
293	75.1	57.1	80.9
294	68.4	58.1	83.9
295	68.4	57.6	85.6
296	72.2	56.0	83.6
297	75.6	56.6	84.0
298	82.6	57.8	83.0
299	78.4	57.5	84.8
300	77.0	56.4	84.4
301	79.4	55.3	84.3
302	77.4	55.0	83.9
303	72.5	55.6	85.0
304	72.9	55.6	84.9
305	73.6	55.9	86.3
306	75.0	55.4	86.5
307	77.7	54.4	85.8
308	79.7	53.7	85.3
309	79.6	54.1	86.0
310	81.5	57.8	84.2
311	80.0	58.2	81.9
312	75.7	58.0	86.5
313	77.8	57.0	86.1
314	78.6	55.0	86.8
315	77.8	54.8	88.0
316	78.5	53.0	85.1
317	78.8	52.5	87.4
318	78.6	53.3	88.0
319	76.8	53.9	88.0
320	76.7	56.2	87.2
321	75.9	57.1	86.1
322	77.6	55.3	86.8
323	72.6	56.2	84.9
324	70.4	54.3	76.8
325	71.8	53.1	80.6
326	73.6	53.4	80.0
327	74.7	54.5	78.2
328	74.6	55.7	79.1
329	76.0	54.8	81.9
330	76.2	53.8	84.7
331	73.4	56.5	83.5
332	74.6	58.3	82.1
333	79.4	58.7	84.0
334	74.7	57.5	85.7
335	73.5	55.9	87.2
336	77.9	55.4	82.9
337	80.7	55.7	84.8
338	75.1	53.1	83.9
339	73.5	53.5	85.5
340	73.5	52.5	86.4
341	77.7	54.5	85.8
342	74.2	56.3	85.4
343	76.0	56.4	85.3
344	77.1	56.5	81.9
345	69.7	56.4	74.8
346	67.8	55.4	71.6
347	64.0	56.2	75.9
348	68.1	55.7	82.1
349	69.3	54.3	80.5
350	70.0	55.2	70.0
351	69.3	54.3	71.2
352	66.3	52.9	70.3
353	67.0	54.8	72.1
354	72.8	54.8	73.7
355	67.2	56.8	72.7
356	62.1	55.4	71.7
357	64.0	55.8	72.9
358	65.5	55.9	73.1
359	65.7	52.8	75.6
360	60.4	54.5	78.3
361	63.2	53.3	78.3
362	68.5	53.6	79.6
363	69.2	52.1	76.4
364	68.7	52.6	77.2
365	62.5	53.9	75.2
366	62.3	55.1	71.9
